Row,DorsAtt,FPN,Default,Visual,Limbic,SomMot,Salience
L_V1_ROI,0,0,0,1,0,0,0
L_MST_ROI,0.698630136986301,0,0,0.301369863013699,0,0,0
L_V6_ROI,0,0,0,1,0,0,0
L_V2_ROI,0,0,0,1,0,0,0
L_V3_ROI,0,0,0,1,0,0,0
L_V4_ROI,0,0,0,1,0,0,0
L_V8_ROI,0,0,0,1,0,0,0
L_4_ROI,0,0,0,0,0,1,0
L_3b_ROI,0,0,0,0,0,1,0
L_FEF_ROI,0.65359477124183,0.0326797385620915,0,0,0,0.117647058823529,0.196078431372549
L_PEF_ROI,0.527777777777778,0.0138888888888889,0,0,0,0.0277777777777778,0.430555555555556
L_55b_ROI,0.0153846153846154,0.338461538461538,0,0,0,0.2,0.446153846153846
L_V3A_ROI,0,0,0,1,0,0,0
L_RSC_ROI,0,0.412322274881517,0.502369668246445,0.0853080568720379,0,0,0
L_POS2_ROI,0.096,0.38,0.292,0.232,0,0,0
L_V7_ROI,0,0,0,1,0,0,0
L_IPS1_ROI,0.540740740740741,0,0,0.459259259259259,0,0,0
L_FFC_ROI,0.158940397350993,0,0,0.80794701986755,0.033112582781457,0,0
L_V3B_ROI,0,0,0,1,0,0,0
L_LO1_ROI,0,0,0,1,0,0,0
L_LO2_ROI,0,0,0,1,0,0,0
L_PIT_ROI,0,0,0,1,0,0,0
L_MT_ROI,0,0,0,1,0,0,0
L_A1_ROI,0,0,0,0,0,1,0
L_PSL_ROI,0,0,0,0,0,0.208588957055215,0.791411042944785
L_SFL_ROI,0,0.118918918918919,0.340540540540541,0,0,0,0.540540540540541
L_PCV_ROI,0.390243902439024,0.225609756097561,0.347560975609756,0,0,0,0.0365853658536585
L_STV_ROI,0,0,0,0,0,0.326086956521739,0.673913043478261
L_7Pm_ROI,0.234042553191489,0.712765957446808,0.0531914893617021,0,0,0,0
L_7m_ROI,0,0,1,0,0,0,0
L_POS1_ROI,0,0,0.706666666666667,0.293333333333333,0,0,0
L_23d_ROI,0,0.333333333333333,0.62962962962963,0,0,0,0.037037037037037
L_v23ab_ROI,0,0,1,0,0,0,0
L_d23ab_ROI,0,0,1,0,0,0,0
L_31pv_ROI,0,0,1,0,0,0,0
L_5m_ROI,0,0,0,0,0,1,0
L_5mv_ROI,0.00523560209424084,0,0,0,0,0.178010471204188,0.816753926701571
L_23c_ROI,0.0246913580246914,0.0493827160493827,0.0123456790123457,0,0,0.0493827160493827,0.864197530864197
L_5L_ROI,0.106382978723404,0,0,0,0,0.856382978723404,0.0372340425531915
L_24dd_ROI,0,0,0,0,0,0.910313901345291,0.0896860986547085
L_24dv_ROI,0,0,0,0,0,0.815602836879433,0.184397163120567
L_7AL_ROI,0.75,0,0,0,0,0.25,0
L_SCEF_ROI,0,0.0197044334975369,0,0,0,0.25615763546798,0.724137931034483
L_6ma_ROI,0.134831460674157,0.275280898876405,0,0,0,0,0.589887640449438
L_7Am_ROI,0.971153846153846,0,0,0,0,0,0.0288461538461538
L_7PL_ROI,1,0,0,0,0,0,0
L_7PC_ROI,0.64327485380117,0,0,0,0,0.35672514619883,0
L_LIPv_ROI,0.930769230769231,0,0,0.0692307692307692,0,0,0
L_VIP_ROI,1,0,0,0,0,0,0
L_MIP_ROI,1,0,0,0,0,0,0
L_1_ROI,0,0,0,0,0,1,0
L_2_ROI,0.0888501742160279,0,0,0,0,0.911149825783972,0
L_3a_ROI,0,0,0,0,0,1,0
L_6d_ROI,0,0,0,0,0,1,0
L_6mp_ROI,0.0232558139534884,0,0,0,0,0.837209302325581,0.13953488372093
L_6v_ROI,0.105882352941176,0,0,0,0,0.741176470588235,0.152941176470588
L_p24pr_ROI,0,0.0864197530864197,0,0,0,0.111111111111111,0.802469135802469
L_33pr_ROI,0,0.527272727272727,0,0,0,0,0.472727272727273
L_a24pr_ROI,0,0.0957446808510638,0.074468085106383,0,0,0,0.829787234042553
L_p32pr_ROI,0,0,0,0,0,0,1
L_a24_ROI,0,0,1,0,0,0,0
L_d32_ROI,0,0.1,0.9,0,0,0,0
L_8BM_ROI,0,0.78735632183908,0.201149425287356,0,0,0,0.0114942528735632
L_p32_ROI,0,0,1,0,0,0,0
L_10r_ROI,0,0,1,0,0,0,0
L_47m_ROI,0,0.0754716981132075,0.811320754716981,0,0.113207547169811,0,0
L_8Av_ROI,0,0.909547738693467,0.0904522613065327,0,0,0,0
L_8Ad_ROI,0,0.0537190082644628,0.946280991735537,0,0,0,0
L_9m_ROI,0,0,1,0,0,0,0
L_8BL_ROI,0,0.0132450331125828,0.986754966887417,0,0,0,0
L_9p_ROI,0,0.0748299319727891,0.925170068027211,0,0,0,0
L_10d_ROI,0,0,0.947712418300654,0,0.0522875816993464,0,0
L_8C_ROI,0.0116731517509728,0.988326848249027,0,0,0,0,0
L_44_ROI,0.0215827338129496,0.568345323741007,0,0,0,0,0.410071942446043
L_45_ROI,0,0.115,0.555,0,0,0,0.33
L_47l_ROI,0,0.283185840707965,0.672566371681416,0,0,0,0.0442477876106195
L_a47r_ROI,0,0.488636363636364,0.511363636363636,0,0,0,0
L_6r_ROI,0.483471074380165,0,0,0,0,0,0.516528925619835
L_IFJa_ROI,0.272727272727273,0.727272727272727,0,0,0,0,0
L_IFJp_ROI,0.954022988505747,0.0459770114942529,0,0,0,0,0
L_IFSp_ROI,0,1,0,0,0,0,0
L_IFSa_ROI,0,0.918238993710692,0.00628930817610063,0,0,0,0.0754716981132075
L_p9_46v_ROI,0,1,0,0,0,0,0
L_46_ROI,0,0.910798122065728,0,0,0,0,0.0892018779342723
L_a9_46v_ROI,0,1,0,0,0,0,0
L_9_46d_ROI,0,0.565543071161049,0.0224719101123595,0,0,0,0.411985018726592
L_9a_ROI,0,0.324503311258278,0.642384105960265,0,0,0,0.033112582781457
L_10v_ROI,0,0,0.240601503759398,0,0.759398496240602,0,0
L_a10p_ROI,0,0.971428571428571,0,0,0.0285714285714286,0,0
L_10pp_ROI,0,0.0315789473684211,0,0,0.968421052631579,0,0
L_11l_ROI,0,0.776470588235294,0.0235294117647059,0,0.2,0,0
L_13l_ROI,0,0.0341880341880342,0,0,0.965811965811966,0,0
L_OFC_ROI,0,0,0,0,1,0,0
L_47s_ROI,0,0.109243697478992,0.571428571428571,0,0.319327731092437,0,0
L_LIPd_ROI,1,0,0,0,0,0,0
L_6a_ROI,0.8,0.119444444444444,0,0,0,0.0805555555555556,0
L_i6_8_ROI,0.104651162790698,0.848837209302326,0.0465116279069767,0,0,0,0
L_s6_8_ROI,0,0.6,0.4,0,0,0,0
L_43_ROI,0,0,0,0,0,0.595238095238095,0.404761904761905
